filename,cell_line,well,timepoint,confluence,cell_count
AD-E1-t04.tif,AD,E1,4,1.47,163
AD-E1-t10.tif,AD,E1,10,1.34,160
AD-E1-t16.tif,AD,E1,16,1.33,149
AD-E1-t22.tif,AD,E1,22,1.3,144
AD-E1-t28.tif,AD,E1,28,1.29,149
AD-E1-t34.tif,AD,E1,34,1.31,127
AD-G5-t04.tif,AD,G5,4,1.51,167
AD-G5-t10.tif,AD,G5,10,1.17,160
AD-G5-t16.tif,AD,G5,16,1.26,166
AD-G5-t22.tif,AD,G5,22,0.67,79
AD-G5-t28.tif,AD,G5,28,0.32,52
AD-G5-t34.tif,AD,G5,34,0.16,30
BM-C1-t04.tif,BM,C1,4,1.79,215
BM-C1-t10.tif,BM,C1,10,1.22,168
BM-C1-t16.tif,BM,C1,16,1.27,167
BM-C1-t22.tif,BM,C1,22,0.97,128
BM-C1-t28.tif,BM,C1,28,0.88,128
BM-C1-t34.tif,BM,C1,34,0.94,137
BM-F11-t04.tif,BM,F11,4,1.88,246
BM-F11-t10.tif,BM,F11,10,1.68,211
BM-F11-t16.tif,BM,F11,16,1.59,203
BM-F11-t22.tif,BM,F11,22,5.18,152
BM-F11-t28.tif,BM,F11,28,0.72,76
BM-F11-t34.tif,BM,F11,34,0.4,81
UC-A12-t04.tif,UC,A12,4,1.47,195
UC-A12-t10.tif,UC,A12,10,1.26,177
UC-A12-t16.tif,UC,A12,16,0.83,112
UC-A12-t22.tif,UC,A12,22,0.78,83
UC-A12-t28.tif,UC,A12,28,0.66,88
UC-A12-t34.tif,UC,A12,34,0.47,72
UC-H7-t04.tif,UC,H7,4,1.91,236
UC-H7-t10.tif,UC,H7,10,1.31,168
UC-H7-t16.tif,UC,H7,16,1.15,168
UC-H7-t22.tif,UC,H7,22,1.22,159
UC-H7-t28.tif,UC,H7,28,1.54,158
UC-H7-t34.tif,UC,H7,34,1.75,145
