filename,cell_line,well,timepoint,confluence,cell_count
AD-E1-t04.tif,AD,E1,4,5.07,649
AD-E1-t10.tif,AD,E1,10,6.01,784
AD-E1-t16.tif,AD,E1,16,5.45,695
AD-E1-t22.tif,AD,E1,22,9.04,1180
AD-E1-t28.tif,AD,E1,28,11.02,1400
AD-E1-t34.tif,AD,E1,34,13.04,1572
AD-G5-t04.tif,AD,G5,4,8.07,847
AD-G5-t10.tif,AD,G5,10,9.49,1125
AD-G5-t16.tif,AD,G5,16,9.4,1117
AD-G5-t22.tif,AD,G5,22,16.78,1892
AD-G5-t28.tif,AD,G5,28,21.21,2272
AD-G5-t34.tif,AD,G5,34,23.57,2453
BM-C1-t04.tif,BM,C1,4,5.09,607
BM-C1-t10.tif,BM,C1,10,6.18,766
BM-C1-t16.tif,BM,C1,16,6.08,733
BM-C1-t22.tif,BM,C1,22,9.51,1209
BM-C1-t28.tif,BM,C1,28,10.07,1338
BM-C1-t34.tif,BM,C1,34,11.57,1475
BM-F11-t04.tif,BM,F11,4,5.5,557
BM-F11-t10.tif,BM,F11,10,6.78,750
BM-F11-t16.tif,BM,F11,16,7.19,765
BM-F11-t22.tif,BM,F11,22,13.74,1546
BM-F11-t28.tif,BM,F11,28,14.95,1885
BM-F11-t34.tif,BM,F11,34,15.11,1956
UC-A12-t04.tif,UC,A12,4,6.85,879
UC-A12-t10.tif,UC,A12,10,8.43,1157
UC-A12-t16.tif,UC,A12,16,10.57,1379
UC-A12-t22.tif,UC,A12,22,14.17,1647
UC-A12-t28.tif,UC,A12,28,17.3,1883
UC-A12-t34.tif,UC,A12,34,19.13,1934
UC-H7-t04.tif,UC,H7,4,3.28,343
UC-H7-t10.tif,UC,H7,10,3.98,468
UC-H7-t16.tif,UC,H7,16,5.27,669
UC-H7-t22.tif,UC,H7,22,8.06,1034
UC-H7-t28.tif,UC,H7,28,11.11,1381
UC-H7-t34.tif,UC,H7,34,14.0,1620
